Company Name, Email, Telephone, Website
ALFING,info@aks.alfing.de, +49 7361 501-542,http://www.alfing.de
ALZMETALL,info@alzmetall.com, +49 8621 88-0,http://www.alzmetall.com
BAUST,rotation@baust.de, +49 21 73 40996-0,http://www.baust.de
BAVIUS,sales@bavius-technologie.com, +49 751 5079-0,http://www.bavius-technologie.com
BECKHOFF AUTOMATION,info@beckhoff.com, +49 5246 963-0,http://www.beckhoff.com
BENZINGER,info@benzinger.de, +49 7231 41531-100,http://www.benzinger.de
BIHLER,verkauf@bihler.de, +49 8368 18-0,http://www.bihler.de
BLOHM JUNG ,sales-hh@blohmjung.com, +49 40 7250-02,http://www.blohmjung.com
BLOHM JUNG ,sales-gp@blohmjung.com, +49 7161 612-0,http://www.blohmjung.com
BOSCH REXROTH,info@boschrexroth.de, +49 9352 18-0,http://www.boschrexroth.de
CHIRON-WERKE ,info@chiron.de, +49 7461 940-0,http://www.chiron.de
CITIZEN ,cme@citizen.de, +49 711 3906-100,http://www.citizen.de
DATRON,info@datron.de, +49 6151 1419-0,http://www.datron.de
DECKEL MAHO PFRONTEN,info@dmgmori.com, +49 8363 89-0,http://www.dmgmori.com
DESCH,info@desch.com,  02932 300-0,http://www.desch.com
DMG MORI,info@dmgmori.com, +49 5205 74-0,http://www.dmgmori.com
DMT DREHMASCHINEN,info@dmt-kern.de, +49 7621 9314-0,http://www.dmt-kern.de
EIMA,info@eima-maschinenbau.de, +49 7022 9462-0,http://www.eima-maschinenbau.de
ELHA,info@elha.de, +49 5257 508-0,http://www.elha.de
EMAG,info@emag.com, +49 7162 17-0,http://www.emag.com
EMAG,info@frankfurt.emag.com, +49 6102 88245-0,http://www.emag.com
EMAG LEIPZIG,info@emag.de, +49 341 4666-0,http://www.emag.de
EMCO MAGDEBURG,sekretariat@emco-magdeburg.de, +49 391 244-0,http://www.emco-magdeburg.de
FFG,info@ffg-werke.com, +49 7161 805-0,http://www.ffg-werke.com
FISCHER KARL EUGEN,CS@KEFischer.de, +49 9572 39-0,http://www.kefischer.de
FORST,general@forst-online.de, +49 212 409-0,http://www.forst-online.de
FPS,vertrieb@fps-germany.com, +49 8024 9905-50,http://www.fps-germany.com
FRÖMAG,info@froemag.com, +49 2373 756-0,http://www.froemag.com
GDW,info@gdw-drehen.de, +49 9193 50879-0,http://www.gdw-drehen.de
GEHRING,info@gehring.de, +49 711 3405-0,http://www.gehring.de
GEIBEL & HOTZ,vertrieb@gh-schleiftechnik.de, +49 6633 181-0,http://www.gh-schleiftechnik.de
GEORG,wzm@georg.com, +49 2732 779-0,http://www.georg.com
GLEASON-HURTH TOOLING,sendengleason-hurth@gleason.com, +49 89 354 01-0,http://www.gleason.com
GLEASON-PFAUTER,schmidt@gleason.com, +49 7141 404-0,http://www.gleason.com
GÖCKEL,info@g-goeckel.de, +49 6151 88336-0,http://www.g-goeckel.de
GROB-WERKE,info@grobgroup.com, +49 8261 996-0,http://www.grobgroup.com
HEIDENHAIN,hd1@heidenhain.de, +49 8669 31-0,http://www.heidenhain.de
HELLER,info@heller.biz, +49 7022 77-0,http://www.heller.biz
HERMLE,info@hermle.de, +49 7426 95-0,http://www.hermle.de
INDEX,info@index-werke.de, +49 711 3191-0,http://www.index-werke.de
INNSE BERARDI,nfo@innse-berardi.de, +49 7161 91010-80,http://www.innse-berardi.de
ISOG,info@isog-technology.com, +49 881 688-0,http://www.isog-technology.com
KAPP,info@kapp-niles.com, +49 9561 866-0,http://www.kapp-niles.com
KEHREN,info@kehren.com, +49 2242 9197-0,http://www.kehren.com
KESEL,info@kesel.com, +49 831 252 88-0,http://esel.com
KESSLER GRUPPE,info@kessler-group.biz, +49 7582 809-0,http://www.kessler-group.biz
KLINGELNBERG,info@klingelnberg.com, +49 2192 81-0,http://www.klingelnberg.com
KOEPFER,info@emag.com, +49 7720 99689-0,http://www.emag.com
KUGLER,info@kugler-precision.com, +49 7553 9200-0,http://www.kugler-precision.com
LASCO,lasco@lasco.de, +49 9561 642-0,http://www.lasco.com
LEIFELD,info@leifeldms.de, +49 2382 96607-0,http://www.leifeldms.de
LEISTRITZ,produktionstechnik@leistritz.com, +49 911 4306-0,http://www.leistritz.com
LICON MT,info@licon.com, +49 7392 962-0,http://www.licon.com
LIEBHERR VERZAHNTECHNIK,info.lvt@liebherr.com, +49 831 786-0,http://www.liebherr.com
MAG IAS,ffg-info@mag-ias.com, +49 7161 805-0,http://www.ffg-ea.com
MAIER,info@maier-machines.de, +49 7426 5286-0,http://www.maier-machines.de
MAKINO,info@makino.eu, +49 7021 503-0,http://www.makino.eu
MANNESMANN A.,sales@amannesmann.de, +49 2191 989-0,http://www.amannesmann.de
MAUSER MASCHINENBAU,mauser@krause-mauser.com, +49 7423 922-0,http://www.krause-mauser.com
MIKROMAT,info@mikromat-wzm.de, +49 351 2861-0,http://www.mikromat-wzm.de
MIKRON,mto@mikron.com, +49 741 5380-0,http://www.mikron.com
MIKSCH,miksch@miksch.de, +49 7161 6724-0,http://www.miksch.eu
NILES,info@kapp-niles.com, +49 30 93033-0,http://www.kapp-niles.com
NILES-SIMMONS-HEGENSCHEIDT,info.nsi@nshgroup.com, +49 371 802-0,http://www.nshgroup.com
NOMOCO,mail@nomoco.de, +49 2935 96890,http://www.nomoco.de
OPEN MIND,info@openmind-tech.com, +49 8153 933 500,http://www.openmind-tech.com
OVERBECK,info@overbeck.de, +49 2772 801-0,http://www.danobatoverbeck.com
PEISELER,peiseler.rs@peiseler.de, +49 2191 913-0,http://www.peiseler.de
PITTLER,peiseler.rs@peiseler.de, +49 6074 4873-0,http://www.pittler.de
PRÄWEMA,vertrieb@praewema.de, +49 5651 8008-0,http://www.praewema.de
PROFILATOR,info@profilator.de, +49 202 2788-0,http://www.profilator.de
PROFIROLL,profiroll@profiroll.de, +49 34 243 740,http://www.profiroll.de
RATTUNDE,acs@rattunde-co.de, +49 3874 4240-0,http://www.rattunde-co.de
RAUSCH,info@gratomat-rausch.de, +49 2129 9421-0,http://www.gratomat-rausch.de
RENISHAW,germany@renishaw.com, +49 7127 981-0,http://www.renishaw.de
RÖDERS,hsc@roeders.de, +49 5191 6034 3,http://www.roeders.de
SAMAG,vertrieb@samag.de, +49 3671 585-0,http://www.samag.de
SCHAUDT MIKROSA,sales@schaudtmikrosa.com, +49 341 4971-0,http://www.schaudtmikrosa.com
SCHIESS,info@schiess.de, +49 3473 968-0,http://www.schiess.de
SCHLEGEL & VOLK,info@schlevo.de, +49 69 970613-0,http://www.schlevo.de
SCHNEEBERGER,info-d@schneeberger.com, +49 7081 782-0,http://www.schneeberger.com
SCHULER PRESSEN,info.weingarten@schulergroup.com, +49 751 4 01-01,http://www.schulergroup.com
SCHULER PRESSEN,info@schulergroup.com, +49 7161 66-0,http://www.schulergroup.com/massivumformung
SCHÜTTE,schuette@schuette.de, +49 221 8399-0,http://www.schuette.de
SCHÜTTE – SCHLEIFTECHNIK,schuette@schuette.de, +49 221 8399-0,http://www.schuette.de
SCHÜTTE SERVICECENTER,alfons.roder@schuette.de, +49 221 8399-0,http://www.schuette.de
SCHWÄBISCHE WERKZEUGMASCHINEN,info@sw-machines.de, +49 7402 74-0,http://www.sw-machines.de
SEIDLER,konradseidler@arcor.de, +49 2131 8688,http://www.konrad-seidler.de
SHW,info@shw-wm.de, +49 7361 5578-800,http://www.shw-wm.de
SIEMENS,kerstin.gohlke@siemens.com, +49 800 225 53 36,http://www.siemens.com/sinumerik
SKF,marketing@skf.com, +49 9721 56-0,http://www.skf.com
SMS GROUP,communications@sms-group.com, +49 2161 350-0,http://www.sms-group.com
STARRAG,info@starrag.com, +49 371 836 22 88,http://www.starrag.com
STARRAG TECHNOLOGY,info@starrag.com, +49 2166 454-0,http://www.starrag.com
TRUMPF,info@de.trumpf.com, +49 7156 303-0,http://www.trumpf.com
TRUMPF WERKZEUGMASCHINEN,info@de.trumpf-laser.com, +49 7156 303-0,http://www.trumpf-laser.com
UNITECH,info@unitech-maschinen.de, +49 371 40029-0,http://www.unitech-maschinen.de
UNITED GRINDING,info@grinding.ch, +49 40 7250 2071,http://www.grinding.ch
VOLLMER WERKE,info@vollmer-group.com, +49 7351 571-0,http://www.vollmer-group.com
WALTER MASCHINENBAU,info@walter-machines.com, +49 7071 9393-0,http://www.walter-machines.com
WEILER,info@weiler.de, +49 9101 705-0,http://www.weiler.de
WEISSER,info@weisser-web.com, +49 7724 881-0,http://www.weisser-web.com
WEMA VOGTLAND,sschuppert@grg-gmbh.com, +49 3741 592-0,http://www.wema-vogtland.de
ZF FRIEDRICHSHAFEN,postoffice@zf.com, +49 7541 77-0,http://www.zf.com
ZIERSCH,info@ziersch.com, +49 3677 761 32-0,http://www.ziersch.com
ZIMMER & KREIM,info@zk-system.com, +49 6161 9307-0,http://www.zk-system.com
ZUSE HÜLLER HILLE,info@zuseautomation.com, +49 6261 66-0,http://www.zuse-hueller-hille.com
